,Product Name,Price,Rating (out of 5),URL
10,"Fourth Level Manufacturing, Atlas Graphics Card Brace Support. Video Card Holder, GPU Brace, for Custom Desktop Pc Gaming. Acrylic GPU Stand case mod. Bitcoin, Mining",13.99,3.9,https://www.amazon.com/Graphics-Support-Holder-Gaming-Bitcoin/dp/B01DQK7DDW/ref=sxin_10?ascsubtag=amzn1.osa.074674ad-2a62-41c0-9e17-17df8c80f73c.ATVPDKIKX0DER.en_US&creativeASIN=B01DQK7DDW&cv_ct_cx=gpu&cv_ct_id=amzn1.osa.074674ad-2a62-41c0-9e17-17df8c80f73c.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=gpu&linkCode=oas&pd_rd_i=B01DQK7DDW&pd_rd_r=5208dce4-4fb5-42c3-b203-24b735d20944&pd_rd_w=mydGu&pd_rd_wg=604Lv&pf_rd_p=a731ca96-f731-4b16-b32d-9bb548e9542b&pf_rd_r=JPXAC57CCPGJE13Z85VB&qid=1604875671&sr=1-3-d9dc7690-f7e1-44eb-ad06-aebbef559a37&tag=digitaltren0b-20
11,ASUS ROG Strix AMD Radeon RX 5700XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),459.99,4.5,https://www.amazon.com/Radeon-Installed-Triple-Model-ROG-STRIX-RX5700XT-O8G-GAMING/dp/B07XC5CQDK/ref=sr_1_4?dchild=1&keywords=gpu&qid=1604875671&sr=8-4
12,BTO NVIDIA GeForce GT 730 4GB VGA DVI HDMI PCI-E Video Graphics Card Dual Monitor Support for Desktop / Tower,64.98,3.9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0952985I0LCNEZ0TQEO&url=%2FBTO-GeForce-Graphics-Monitor-Support%2Fdp%2FB08GQ8RD18%2Fref%3Dsr_1_5_sspa%3Fdchild%3D1%26keywords%3Dgpu%26qid%3D1604875671%26sr%3D8-5-spons%26psc%3D1&qualifier=1604875671&id=2803996709582887&widgetName=sp_mtf
13,"XFX Radeon RX 570 RS XXX Edition 1286MHz, 8gb GDDR5, DX12 VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card (RX-570P8DFD6)",189.99,4.6,https://www.amazon.com/XFX-Radeon-1286MHz-Graphics-RX-570P8DFD6/dp/B077VX31FZ/ref=sr_1_6?dchild=1&keywords=gpu&qid=1604875671&sr=8-6
14,MSI Gaming GeForce GTX 1650 128-Bit HDMI/DP 4GB GDRR5 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card (GTX 1650 Gaming X 4G),169.99,4.6,https://www.amazon.com/MSI-GeForce-128-Bit-Support-Graphics/dp/B07QTMRJTK/ref=sr_1_7?dchild=1&keywords=gpu&qid=1604875671&sr=8-7
15,Gigabyte GV-N1030OC-2GI Nvidia GeForce GT 1030 OC 2G Graphics Card,88.99,4.5,https://www.amazon.com/Gigabyte-GV-N1030OC-2GI-Nvidia-GeForce-Graphics/dp/B07646VQ6T/ref=sr_1_8?dchild=1&keywords=gpu&qid=1604875671&sr=8-8
16,PowerColor Red Devil AMD Radeon RX 5700 XT 8GB AXRX 5700XT 8GBD6-3DHE/OC,439.99,4.3,https://www.amazon.com/PowerColor-Devil-Radeon-GDDR6-Graphics/dp/B07WP6TYQ3/ref=sr_1_9?dchild=1&keywords=gpu&qid=1604875671&sr=8-9
17,"Terokota Large 10Pcs Anti Static Bags, 11.81×15.75in Shielding ESD Bag, Resealable Antistatic Motherboard Bags for Electronics, GPU, 30×40cm",,5.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08823282ROKTWWNGO1VZ&url=%2FShielding-15-75Inches-Reusable-Electronic-Components%2Fdp%2FB07XF5Q6H9%2Fref%3Dsr_1_10_sspa%3Fdchild%3D1%26keywords%3Dgpu%26qid%3D1604875671%26sr%3D8-10-spons%26psc%3D1&qualifier=1604875671&id=2803996709582887&widgetName=sp_mtf
18,"EVGA 06G-P4-1667-KR GeForce GTX 1660 Ti SC Ultra Gaming, 6GB GDDR6, Dual Fan",299.37,4.7,https://www.amazon.com/EVGA-GeForce-Ultra-Gaming-06G-P4-1667-KR/dp/B07RJGK1PW/ref=sr_1_11?dchild=1&keywords=gpu&qid=1604875671&sr=8-11
19,MSI GAMING GeForce GT 710 1GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Heat Sink Low Profile Graphics Card (GT 710 1GD3H LPV1),35.99,4.4,https://www.amazon.com/MSI-GT-710-1GD3H-LPV1/dp/B01DOFD3RY/ref=sr_1_12?dchild=1&keywords=gpu&qid=1604875671&sr=8-12
